date,nvda_allin,asts_allin,top2,mega8,semis,options_pct,cash_pct,nvda_explicit,asts_explicit,top2_explicit,mega8_explicit,semis_explicit,breaches
2026-09-10,15.053,13.881,28.934,50.378,22.769,3.29,2.81,,,,,,NVDA >15%
2026-09-11,14.869,13.477,28.346,50.683,22.599,3.298,2.817,9.304,13.477,22.781,26.073,10.675,
2026-09-14,15.053,13.881,28.934,50.378,22.769,3.29,2.81,9.511,13.881,23.392,25.873,10.891,NVDA >15%
2026-09-15,14.725,13.46,28.185,50.722,22.43,3.34,2.853,9.158,13.46,22.618,26.102,10.506,
2026-09-16,14.786,13.534,28.32,50.656,22.502,3.337,2.85,9.225,13.534,22.759,26.062,10.59,
2026-09-17,14.78,13.819,28.599,50.43,22.512,3.264,2.788,9.252,13.819,23.071,25.979,10.665,
2026-09-18,15.005,13.177,28.183,50.891,22.847,3.28,2.802,9.423,13.177,22.6,26.201,10.882,NVDA >15%
2026-09-21,14.972,13.394,28.367,50.76,22.908,3.196,2.729,9.391,13.394,22.785,26.07,10.936,
2026-09-22,15.053,13.881,28.934,50.378,22.769,3.29,2.81,9.511,13.881,23.392,25.873,10.891,NVDA >15%
2026-09-23,15.019,13.225,28.244,50.822,22.993,3.231,2.76,9.418,13.225,22.643,26.043,10.974,NVDA >15%
2026-09-24,14.947,13.368,28.315,50.71,22.937,3.222,2.752,9.353,13.368,22.721,25.964,10.934,
2026-09-25,15.053,13.881,28.934,50.378,22.769,3.29,2.81,9.511,13.881,23.392,25.873,10.891,NVDA >15%
