date,symbol,close,chg_1d,chg_1w,chg_1m
2026-09-16,AAPL,332.41,0.323,5.413,8.776
2026-09-16,ACHR,5.22,-4.57,-5.091,-18.31
2026-09-16,AMC,2.66,4.314,8.13,9.016
2026-09-16,AMD,512.5,1.646,-1.65,1.285
2026-09-16,AMZN,245.96,-0.99,-2.552,-5.874
2026-09-16,ASTS,59.27,0.851,-5.046,-16.685
2026-09-16,AVGO,339.51,0.071,-6.825,-13.485
2026-09-16,BAER,0.9922,-1.762,-8.972,-16.622
2026-09-16,BULL,7.69,-11.201,-18.365,-5.76
2026-09-16,DE,669.47,-2.13,-1.143,11.593
2026-09-16,DELL,563.29,3.639,5.239,17.399
2026-09-16,DIS,106.99,0.536,2.697,3.372
2026-09-16,ELMT,19.84,1.38,20.535,3.874
2026-09-16,FLY,20.28,-1.025,-7.015,-25.386
2026-09-16,GME,21.98,2.519,10.508,19.457
2026-09-16,GOOGL,342.87,-0.612,3.696,-0.264
2026-09-16,GS,937.98,-3.961,-8.826,-10.343
2026-09-16,HIMS,28.0,0.539,0.358,-2.132
2026-09-16,HOOD,104.42,-5.459,-9.421,8.488
2026-09-16,HQ,13.56,2.727,-15.619,-19.286
2026-09-16,IBM,237.49,-4.381,-1.021,3.775
2026-09-16,IREN,42.62,2.501,-6.061,-5.078
2026-09-16,ISRG,382.29,1.36,8.224,-2.06
2026-09-16,IUSG,187.29,-0.112,-1.355,-3.129
2026-09-16,IWM,283.92,-0.428,-2.057,-6.38
2026-09-16,JPM,348.92,-1.013,-1.632,-3.336
2026-09-16,KRKNF,3.28,3.145,-9.141,-25.217
2026-09-16,LTRX,5.42,1.689,7.115,-18.496
2026-09-16,LUNR,13.87,0.0,-7.162,-31.943
2026-09-16,META,673.31,0.458,3.001,18.338
2026-09-16,MSFT,490.3,-1.372,-0.275,2.264
2026-09-16,MSTR,126.18,-2.639,-4.913,29.177
2026-09-16,NBIS,209.37,0.964,-12.89,-22.124
2026-09-16,NCLH,14.53,1.751,-2.155,-20.077
2026-09-16,NKLR,4.175,-9.041,-23.394,-30.3
2026-09-16,NNE,15.64,-0.887,-13.924,-20.163
2026-09-16,NVDA,213.9,0.815,-4.261,-4.831
2026-09-16,OKLO,35.62,-1.001,-16.326,-18.824
2026-09-16,ONDS,7.2,-0.552,-1.235,-20.0
2026-09-16,ORLY,83.68,-1.738,-2.788,-7.259
2026-09-16,PLTR,174.34,1.032,2.837,1.037
2026-09-16,QBTS,16.27,-0.853,-4.965,-22.041
2026-09-16,QQQ,704.72,0.026,-1.618,-3.446
2026-09-16,QQQM,290.2,0.038,-1.617,-3.434
2026-09-16,QS,5.0,-0.99,-4.215,-18.301
2026-09-16,RDW,10.79,0.372,0.841,-19.538
2026-09-16,RKLB,63.7,0.236,0.999,-22.393
2026-09-16,RSP,212.28,-0.785,-1.1,-3.854
2026-09-16,SCHA,33.06,-0.271,-3.05,-7.654
2026-09-16,SERV,4.29,-0.924,-7.841,-12.449
2026-09-16,SMR,8.3,-1.542,-23.219,-9.684
2026-09-16,SPCX,150.88,5.15,2.257,3.18
2026-09-16,SPY,754.05,-0.441,-1.095,-2.41
2026-09-16,SRFM,0.497,5.97,-19.055,-27.971
2026-09-16,TE,4.09,-4.884,-16.701,-16.189
2026-09-16,TLT,80.88,0.211,-1.04,-0.197
2026-09-16,TQQQ,67.93,0.044,-5.059,-11.086
2026-09-16,TSLA,358.08,0.421,-2.645,5.535
2026-09-16,VELO,9.99,1.731,-8.433,-35.941
2026-09-16,VOOG,82.63,-0.097,-1.349,-2.845
2026-09-16,VUG,87.06,0.0,-0.707,-2.037
