date,symbol,close,pct_change
2026-09-09,AAPL,315.34,-0.278
2026-09-09,ACHR,5.5,-5.66
2026-09-09,AMC,2.46,-3.906
2026-09-09,AMD,521.1,3.037
2026-09-09,AMZN,252.4,-1.778
2026-09-09,ASTS,62.42,-5.596
2026-09-09,AVGO,364.38,-1.134
2026-09-09,BAER,1.09,-0.909
2026-09-09,BULL,9.42,-1.567
2026-09-09,DE,677.21,-0.517
2026-09-09,DELL,535.25,0.257
2026-09-09,DIS,104.18,-0.838
2026-09-09,ELMT,16.46,-2.776
2026-09-09,FLY,21.81,-4.76
2026-09-09,GME,19.89,5.294
2026-09-09,GOOGL,330.65,-2.279
2026-09-09,GS,1028.78,-0.748
2026-09-09,HIMS,27.9,-0.958
2026-09-09,HOOD,115.28,-1.756
2026-09-09,HQ,16.07,-0.434
2026-09-09,IBM,239.94,3.382
2026-09-09,IREN,45.37,-3.324
2026-09-09,ISRG,353.24,0.88
2026-09-09,IUSG,190.11,-0.429
2026-09-09,IWM,290.64,-1.368
2026-09-09,JPM,354.71,0.339
2026-09-09,LTRX,5.06,-3.985
2026-09-09,LUNR,14.94,-4.719
2026-09-09,META,653.69,6.554
2026-09-09,MSFT,491.65,-0.466
2026-09-09,MSTR,132.7,-2.798
2026-09-09,NBIS,240.35,-1.447
2026-09-09,NCLH,14.85,-3.509
2026-09-09,NKLR,5.45,-3.71
2026-09-09,NNE,18.17,-6.098
2026-09-09,NVDA,223.67,-0.913
2026-09-09,OKLO,42.57,-1.709
2026-09-09,ONDS,7.29,-4.331
2026-09-09,ORLY,86.08,0.221
2026-09-09,PLTR,169.53,-0.452
2026-09-09,QBTS,17.12,-3.113
2026-09-09,QQQ,716.31,-0.285
2026-09-09,QQQM,294.97,-0.267
2026-09-09,QS,5.22,-6.619
2026-09-09,RDW,10.7,-4.72
2026-09-09,RKLB,63.07,-4.251
2026-09-09,RSP,214.64,-0.964
2026-09-09,SCHA,34.1,-1.045
2026-09-09,SERV,4.655,-5.0
2026-09-09,SMR,10.81,-3.309
2026-09-09,SPCX,147.55,-3.857
2026-09-09,SPY,762.4,-0.465
2026-09-09,SRFM,0.614,-2.54
2026-09-09,TE,4.91,-2.964
2026-09-09,TLT,81.73,-0.572
2026-09-09,TQQQ,71.55,-0.845
2026-09-09,TSLA,367.81,-0.095
2026-09-09,VELO,10.91,-8.779
2026-09-09,VOOG,83.76,-0.381
2026-09-09,VUG,87.68,-0.499
2026-09-10,KRKNF,3.53,-2.216
