symbol,weight_pct,kind,underlying,sleeve,theme,expiry,right,strike
VUG,27.86,etf,VUG,Index Core,Index Core,,,
ASTS,10.63,equity,ASTS,Single Stock,Space & Aero,,,
NVDA,9.51,equity,NVDA,Single Stock,AI & Semis,,,
VOOG,8.6,etf,VOOG,Index Core,Index Core,,,
MSFT,5.14,equity,MSFT,Single Stock,Mega-cap Platform,,,
AAPL,4.47,equity,AAPL,Single Stock,Mega-cap Platform,,,
QQQ,4.1,etf,QQQ,Index Core,Index Core,,,
SPAXX**,2.81,cash,SPAXX**,Cash,Cash,,,
AMZN,2.7,equity,AMZN,Single Stock,Mega-cap Platform,,,
GOOGL,2.24,equity,GOOGL,Single Stock,Mega-cap Platform,,,
GS,2.14,equity,GS,Single Stock,Financials,,,
QQQM,1.67,etf,QQQM,Index Core,Index Core,,,
SPCX,1.66,equity,SPCX,Single Stock,Space & Aero,,,
IUSG,1.5,etf,IUSG,Index Core,Index Core,,,
PLTR,1.21,equity,PLTR,Single Stock,AI & Semis,,,
AMD,1.17,equity,AMD,Single Stock,AI & Semis,,,
RKLB,1.03,equity,RKLB,Single Stock,Space & Aero,,,
DELL,1.01,equity,DELL,Single Stock,AI & Semis,,,
META,0.98,equity,META,Single Stock,Mega-cap Platform,,,
-ASTS270115C25,0.76,option,ASTS,Options,Space & Aero,2027-01-15,CALL,25.0
-ASTS270115C30,0.64,option,ASTS,Options,Space & Aero,2027-01-15,CALL,30.0
SCHA,0.64,etf,SCHA,Index Core,Index Core,,,
-ASTS281215C60,0.63,option,ASTS,Options,Space & Aero,2028-12-15,CALL,60.0
TSLA,0.62,equity,TSLA,Single Stock,Industrials & Other,,,
-ASTS270115C35,0.56,option,ASTS,Options,Space & Aero,2027-01-15,CALL,35.0
TQQQ,0.47,etf,TQQQ,Leveraged,Leveraged,,,
IBM,0.45,equity,IBM,Single Stock,Mega-cap Platform,,,
JPM,0.41,equity,JPM,Single Stock,Financials,,,
-ASTS280121C180,0.31,option,ASTS,Options,Space & Aero,2028-01-21,CALL,180.0
ELMT,0.31,equity,ELMT,Single Stock,Industrials & Other,,,
IWM,0.27,etf,IWM,Index Core,Index Core,,,
NBIS,0.27,equity,NBIS,Single Stock,AI & Semis,,,
VELO,0.26,equity,VELO,Single Stock,Industrials & Other,,,
ORLY,0.24,equity,ORLY,Single Stock,Industrials & Other,,,
AVGO,0.21,equity,AVGO,Single Stock,AI & Semis,,,
-ASTS280121C150,0.2,option,ASTS,Options,Space & Aero,2028-01-21,CALL,150.0
QBTS,0.19,equity,QBTS,Single Stock,Quantum,,,
ONDS,0.16,equity,ONDS,Single Stock,Space & Aero,,,
-ASTS280121C190,0.15,option,ASTS,Options,Space & Aero,2028-01-21,CALL,190.0
DE,0.14,equity,DE,Single Stock,Industrials & Other,,,
KRKNF,0.14,equity,KRKNF,Single Stock,Space & Aero,,,
ISRG,0.13,equity,ISRG,Single Stock,Industrials & Other,,,
SMR,0.13,equity,SMR,Single Stock,Nuclear & Energy,,,
HOOD,0.11,equity,HOOD,Single Stock,Speculative Retail,,,
LTRX,0.1,equity,LTRX,Single Stock,Industrials & Other,,,
BULL,0.09,equity,BULL,Single Stock,Speculative Retail,,,
IREN,0.09,equity,IREN,Single Stock,AI & Semis,,,
NNE,0.09,equity,NNE,Single Stock,Nuclear & Energy,,,
TE,0.09,equity,TE,Single Stock,Nuclear & Energy,,,
NCLH,0.07,equity,NCLH,Single Stock,Industrials & Other,,,
SERV,0.07,equity,SERV,Single Stock,Space & Aero,,,
DIS,0.06,equity,DIS,Single Stock,Industrials & Other,,,
RDW,0.06,equity,RDW,Single Stock,Space & Aero,,,
HIMS,0.05,equity,HIMS,Single Stock,Industrials & Other,,,
MSTR,0.05,equity,MSTR,Single Stock,Speculative Retail,,,
NKLR,0.05,equity,NKLR,Single Stock,Nuclear & Energy,,,
ACHR,0.04,equity,ACHR,Single Stock,Space & Aero,,,
FLY,0.04,equity,FLY,Single Stock,Space & Aero,,,
QS,0.04,equity,QS,Single Stock,Nuclear & Energy,,,
-AUR270115C7,0.03,option,AUR,Options,Space & Aero,2027-01-15,CALL,7.0
HQ,0.03,equity,HQ,Single Stock,Quantum,,,
LUNR,0.03,equity,LUNR,Single Stock,Space & Aero,,,
OKLO,0.03,equity,OKLO,Single Stock,Nuclear & Energy,,,
BAER,0.02,equity,BAER,Single Stock,Space & Aero,,,
GME,0.01,equity,GME,Single Stock,Speculative Retail,,,
-SIRI270115C35,0.01,option,SIRI,Options,Other,2027-01-15,CALL,35.0
SRFM,0.01,equity,SRFM,Single Stock,Space & Aero,,,
-ACHR270115C22,0.0,option,ACHR,Options,Space & Aero,2027-01-15,CALL,22.0
AMC,0.0,equity,AMC,Single Stock,Speculative Retail,,,
-QS270115C32,0.0,option,QS,Options,Nuclear & Energy,2027-01-15,CALL,32.0
